RESERVED,-0.0001618173,-0.041004576,-0.055867903,0.00939941,0.0061612483,-0.02158358,-0.02053565,-0.04818213,-0.016542863,-0.014185607,-0.053283133,0.03696983,-0.05304463,-0.009960331,-0.05247457,-0.030254746,0.0076304562,-0.052377343,0.013436984,0.0027527716,-0.00067842007,0.07802788,0.06003931,-0.042227793,0.028990235,-0.01112232,0.056214266,-0.031437743,-0.0065928586,-0.0011009462,-0.032067858,0.0024633668,0.075160876,0.02188506,0.006056115,-0.029264022,0.018116232,-0.03497567,-0.02361647,0.007337317,0.07079367,0.04137832,-0.003018083,0.022640612,0.003221441,0.05502037,0.042818584,0.08116776,-0.04453012,0.026874166,0.0028728023,-0.03529948,0.06495447,-0.009376582,-0.05483227,-0.08371414,0.0008578785,-0.05103711,0.09062919,0.06068875,-0.0043216944,0.044483792,-0.003110947,0.035054542,0.011252381,0.056772254,0.0124835875,0.054054964,0.061689675,0.0034011267,0.012758747,-0.058202527,-0.0068255067,-0.0755195,-0.08882463,0.01963798,0.04306759,-0.029044308,-0.03896346,0.044382326,-0.025176786,0.013113884,-0.0031864531,-0.010138178,0.04356239,-0.046730246,-0.04312694,-0.021760881,0.004595589,0.018835656,-0.07151955,0.009669891,-0.06517645,-0.026874496,-0.031843506,-0.015330326
UNK,-0.67587256,0.415528,-0.6005182,-0.5698004,-0.6782875,0.34945357,-0.7663524,0.7980184,-0.49299765,0.6333158,0.575006,0.77495056,0.88096637,0.61386895,-0.65510035,0.689675,-0.644056,0.59520894,-0.52840364,-0.6307796,-0.82406735,-0.5740405,-0.8620285,-0.6681611,0.45770073,-0.6623863,-0.7528064,-0.6752659,0.9120521,0.6292485,0.7508056,0.64256173,-0.68098426,-0.6635872,0.80124307,-0.8419384,0.6612577,-0.61225075,0.65946496,-0.5638276,-0.80400705,-0.6398588,-0.5082195,-0.62502813,-0.8012775,-0.6504488,-0.6771196,0.6036249,0.839818,0.7633464,0.6058821,-0.7415275,-0.70663863,-0.60596156,0.77530324,-0.5207858,-0.6885691,-0.75180787,0.7630072,-0.5669171,0.7377359,-0.44404754,0.75766385,-0.78685415,0.7844881,0.6607126,-0.54559404,0.7410468,0.72688174,0.54597646,-0.7348466,0.69626343,0.2479351,0.7575954,0.4952544,-0.3889359,-0.6205403,0.6941613,0.8602736,0.75007796,-0.5959102,-0.83764803,-0.7165692,-0.60741293,-0.6504922,-0.6967071,-0.75737196,-0.62814945,0.5924751,-0.54273283,-0.5880265,0.46532366,0.7250948,-0.63227475,0.6359278,0.37730575
the,-0.7559984,0.73134977,-0.31805456,-0.708608,-0.6663932,-0.6099623,-0.22801176,0.5690595,-0.8234982,0.6538935,0.6754192,0.8759233,0.47229353,0.39211705,-0.61072236,0.6089755,-0.84525657,0.7005285,-0.68448436,-0.7929945,-0.88102937,-0.47520518,-0.61524767,-0.14534473,0.22949201,-0.8339774,-0.7009028,-0.5193809,-0.08909674,0.5435004,0.8553709,0.93436605,0.14540064,-0.41049108,0.89211756,-1.0920153,1.034022,-0.7928305,0.68995,-0.7606301,-0.75373304,-0.8433614,-0.67006975,-0.7031313,-0.57577085,-1.0242707,-0.6325874,0.6198975,0.69706976,0.44335267,0.8662801,-0.43365532,-0.7249721,-0.7605897,0.6573966,-0.821496,-0.5463536,-0.74601924,0.5055014,-0.6612104,0.7309227,-0.89393634,0.64379966,-1.0355821,0.75985676,0.6478311,-0.93261385,0.16021153,0.70646006,0.58113575,-0.5238711,0.40139085,0.39494616,0.91456807,0.47475845,-0.76843,-0.6092749,0.59971035,0.57744837,0.406303,-0.08888513,-0.69460016,-0.8108955,-0.74610084,-0.6230577,-0.905537,-0.92985106,-0.5834197,0.5848158,-0.39862084,-0.62837267,0.27545768,0.7184646,-0.67465305,0.4852006,0.62491786
to,-0.6431651,0.6051695,-0.5892731,-0.698662,-0.23492604,0.47382826,-0.60460865,-0.121733844,-0.70335853,0.8072909,1.0487845,0.9286577,-0.04387486,0.56104136,-0.06420007,0.6237834,-0.9704901,-0.07043311,-0.66206586,-0.36709577,-0.92006004,-0.27865398,-0.27368963,-0.9246969,0.8907263,-0.7595954,-0.7465349,-0.34976217,0.39457268,0.7203224,0.8146618,1.0373052,-1.1496254,-0.41553617,0.07743251,-0.87458646,0.47465396,-0.6250772,0.70580935,-0.43645638,-1.0094185,-0.09693278,-0.7678338,-0.7588215,-0.24535081,-0.65077686,-0.96687627,0.53404427,0.28785956,0.5946623,0.3491697,-0.8163391,-0.4680763,-1.2600701,0.80607057,-0.57011175,-0.7995369,-0.47523183,0.8071549,-0.31984288,0.9419158,-0.7989143,0.5100653,-0.9612552,1.1238301,0.9355508,-0.8332161,0.44422784,0.85176426,0.9219934,-0.56507593,0.19557716,-0.41174528,0.23900954,0.15221585,-0.64518994,-0.45246282,1.2516513,0.1027184,1.0508662,-0.79811335,0.568331,-0.63264644,-0.9282918,-0.3390904,-0.65278506,-0.7458713,-0.76594347,0.61347693,-0.42717046,-0.8531905,0.83849293,0.8503572,-0.32646123,1.2989776,0.6008032
and,-1.0202171,0.3772723,-0.27698034,-0.33765042,-0.6079216,0.17053999,-0.6039841,0.6523675,-0.4178043,0.60245764,0.745227,0.79189134,0.41143236,0.39373025,-0.35818946,0.50676954,-0.42359212,0.42344588,-0.542112,-0.5205279,-0.8318585,-0.68809485,-0.6455128,-0.6899449,0.6513944,-0.49666488,-0.6865364,-0.708223,0.8378799,0.54601914,0.56277764,0.4213754,-0.66747,-0.5159559,0.72625875,-0.58378357,0.5748357,-0.82629454,0.4462363,-0.44811213,-0.5178905,-0.34941182,-0.5428713,-0.45686263,-0.38450256,-0.5708519,-0.355281,0.31820428,0.7266893,0.85269856,0.46332735,-0.5554725,-0.9084867,-0.5804472,0.1320233,-0.56938356,-0.78937376,-0.8240107,0.85625184,-0.8099049,0.76074404,-0.456158,0.81719184,-0.8150971,0.58074117,0.53249043,-0.34424093,0.5962107,0.72700655,0.85458815,-0.86638093,0.4977766,0.4198311,0.7301223,0.48982185,-0.36720082,-0.630554,0.5217206,0.7479534,0.7170101,-1.0007222,-0.46819222,-0.5266476,-0.37992805,-0.6137532,-0.45747423,-0.5428486,-0.79746807,0.53105813,-0.45179534,-0.5110925,0.48285514,0.67740417,-0.6313984,0.9990723,-0.08997922
a,-0.78850496,0.48483324,-0.5853551,-0.51312375,-0.7639242,0.2889067,-0.93381584,-0.007521227,0.14463381,0.41130996,0.40908238,0.45529926,0.5094932,1.3282125,-0.57315665,0.37506706,-0.8808046,0.29981482,-0.054453105,-0.07552546,-0.65151095,-0.84865236,-0.48414898,-0.5492661,0.21873423,-0.31908447,-0.96085376,-0.3564947,0.92333126,0.58946276,0.98157585,0.6273303,-0.5638075,-0.08332425,0.42509258,-0.57411194,1.0071099,-0.26197988,1.0505646,-1.0058376,-1.094677,-0.7432854,-0.64750415,0.3139436,-0.5240027,-0.42954555,-1.0037069,0.9835403,0.77957594,-0.0037801862,0.7074541,-0.33208334,-0.69285977,-0.80388224,1.0921484,-0.6760454,-0.86832947,-0.5521928,0.73002577,-0.9239316,0.5660727,-0.1479031,0.55871916,-0.64056635,0.36425656,0.41571915,-0.21252435,0.4384201,0.7161261,-0.05729279,-0.20169187,0.8847319,0.47253528,1.3042686,0.9205264,-0.36157134,-1.125858,0.66077393,0.31389976,0.36462206,-0.10558818,-0.90531135,-0.7142796,-0.77969664,-0.5512507,-0.8813296,-0.957732,-0.85442054,0.51293254,-0.821632,-0.7479454,0.8588086,0.4726252,-0.2295892,0.37618086,0.11452001
of,-0.7648515,0.27705702,-0.9241376,-0.69078267,-0.86291325,-0.0975048,-0.46223,0.7150349,-0.6140056,0.98244023,0.35661438,0.8511425,0.6633493,0.06730526,-0.80223274,0.96778107,-0.75058436,0.38228172,-0.47356293,-0.29382667,-0.65298724,-1.013274,-0.47079968,0.4976067,-0.042088687,-0.43456957,-1.11471,-0.83639425,0.31613308,0.94040227,0.9405174,0.30765048,-0.033063233,-1.0120798,0.91437316,-0.99744743,0.8817437,-0.43196097,0.787646,-0.8350726,-0.9060282,-0.42996702,-0.55540884,-0.15643829,-0.8299561,-0.58375,-0.7782951,0.2823179,0.7353059,0.26959723,0.71389395,-0.95989543,-0.11395965,-0.87116385,0.4988914,-0.17719287,-0.38939425,-1.0638337,0.5568471,-0.5498589,0.76940304,-0.16198653,-0.3365515,-0.6847689,0.6653726,0.5630624,-0.31236017,0.4435478,0.5157803,0.3375339,-0.33001763,0.9895884,0.25766066,1.013103,1.0624673,-0.8888494,-0.021832824,0.38445058,0.0069131553,-0.2945665,-0.52967143,-0.88636446,-0.8878708,-0.687029,-0.45325944,-0.92377055,-0.62962633,-0.13418306,0.40220946,-0.33377022,-0.30077708,0.18723142,0.5799687,-0.8208377,0.41938686,1.0838815
is,-0.394043,0.6332672,-0.9117794,-0.6097005,-0.5517589,0.729933,-0.77323306,0.3653208,-0.42597723,0.8640298,0.845896,0.7220759,0.40316957,0.7293488,0.18490866,0.055927217,-0.49717546,0.632005,-0.117149025,-0.27081537,-0.83744586,-0.65063137,-1.3072503,-0.8655828,0.1694636,-0.4013322,-0.4928347,-0.5933212,0.65703535,0.5250517,0.5374708,0.35479236,0.00051219575,-0.68325347,0.59947115,-0.7677995,0.08603214,-0.5353015,0.23506486,-0.46154654,-0.88897985,-0.4599044,-0.31250536,-0.90468585,-0.41678223,-0.4892724,-0.25008425,1.0110652,0.74503005,0.7710427,0.8428402,-0.52868426,-0.56781745,-0.4421123,1.029318,-0.8578239,-0.6214608,-0.7133809,0.68923795,-0.8670826,0.7513637,0.37219274,0.649724,-0.4518308,0.30596173,0.82633734,-0.12470674,0.28913885,0.24799147,0.38019222,-0.7120253,0.7190051,0.90310764,-0.35683843,1.1799765,-0.2446346,-0.8681561,0.8921024,0.22230512,0.7871779,-0.1381089,-0.6870397,-0.13526379,-0.09427866,-0.5564625,-0.5327236,-0.64690876,-0.9044297,0.8772393,0.18571955,-0.8344034,0.049899023,0.427656,-0.27472985,0.41633454,0.73878604
in,-0.7861822,0.5656686,-0.7273024,-0.57861686,-0.885446,0.75496143,-0.63387,0.22486484,-0.39206514,0.46799344,0.54311776,0.59782344,0.06526929,0.17073481,-0.69031745,0.6379645,-0.5307375,0.8174555,-0.47502768,-0.90531254,-0.64773774,-0.88875175,-0.42861038,-0.1625884,0.077856764,-0.5084471,-1.1682339,-0.6586182,0.57472974,0.71392316,0.9325485,0.41789672,0.44228637,-0.008952081,0.87169874,-1.0539371,0.41322106,-0.5357421,0.36050153,-0.30551118,-0.69397277,-1.1313452,-0.5297738,0.14660364,-0.46989936,-0.17001271,-0.9585288,0.81702995,0.4995867,0.4021472,1.0572016,-0.20135416,-0.9479704,-0.4485068,0.74794954,-0.8160819,-0.702094,-0.36380348,0.9784804,-0.56451815,-0.27323094,-0.2180405,0.14567597,-0.51070714,0.6981617,-0.014613375,-0.8352622,0.60031044,1.0974491,0.5692472,-0.73109514,0.4095358,0.8141892,0.91944265,-0.13893887,-1.0333618,-0.66678464,0.48293057,0.20783018,0.6137735,-0.29530728,-0.47248322,-0.47582898,-0.4866605,-0.8998786,-0.46288085,-0.4097269,-0.5620452,0.7108847,-0.29319075,-0.55390084,0.73672444,0.47954577,-0.28562367,1.0416656,0.9123626
his,-0.7603788,0.5130779,-0.1131218,-0.4404352,-0.6412592,0.54295754,-0.9518455,0.8032191,-0.20411919,1.2357665,1.1810561,0.78542984,0.08079437,0.18814388,-0.41398472,0.6078259,-0.53909516,0.3109348,-0.43952206,-0.8616468,-0.5336791,-0.74995816,-0.71126235,-0.30585247,0.39774424,-0.8837638,-0.35533425,-0.901373,0.87265337,1.039039,0.61480665,0.32615465,-0.30363235,-1.0278306,0.8076923,-0.15854442,0.25546107,-0.17145465,0.7158787,-0.009756714,-0.42086032,0.33457136,-1.0072691,0.30813348,-0.8395796,-0.3065536,-0.42977536,-0.28193367,0.45660174,0.63808775,0.63971555,-0.34813935,-0.60744554,-0.696178,0.8365818,-0.034347266,-1.071252,-0.68310815,0.7574217,-0.57016456,0.8708228,-0.64406264,0.0021873843,-0.9197479,0.66592526,0.89619434,-0.71919084,0.7803352,0.69684386,0.6742085,-0.4601901,0.82878,0.76849806,0.27455848,0.52960974,-0.54274344,-0.43938258,0.39568955,0.6857118,0.26640448,-0.7970599,-0.25608945,-0.4190187,-0.27844787,-0.8996489,-0.53760326,-0.552345,-0.5939285,0.6281594,-0.8816402,-0.9237479,0.5424492,1.029571,-0.9759147,0.5356021,0.32133827
